account_number,account_type,branch_code,branch_name,case_status,case_summary,closed_date,closing_balance,compensation_paid,complaint_type,customer_address,customer_email,customer_id,customer_name,customer_phone,dispute_amount,dispute_type,doc_id,doc_type,filed_date,priority,processed_date,request_date,request_status,request_type,resolution,rm_email,rm_id,rm_name,s3_path,sort_code,statement_date
16697848,Current,BR007,Cardiff,,"Monthly Current account statement. Closing balance £14,697.91.",,14697.91,,,"Studio 67, Lee rue, McDonaldmouth, DT3X 5GB",brenda41@example.com,CUST00009,Dr Sharon Jones,(0909) 8790528,,,STMT00011,eStatement,,,,,,,,isabella.rossi@securebankplc.com,RM020,Isabella Rossi,s3://banking-docs-poc-qahftr/estatements/2024/06/STMT00011.pdf,97-24-97,2024-06-20
60883561,Business Current,BR005,Leeds,,"Monthly Business Current account statement. Closing balance £14,687.93.",,14687.93,,,"03 Faulkner run, Lake Victorstad, HA9 2TL",hicksdawn@example.net,CUST00034,Brandon Middleton,(0131) 496 0052,,,STMT00012,eStatement,,,,,,,,sophie.chen@securebankplc.com,RM002,Sophie Chen,s3://banking-docs-poc-qahftr/estatements/2024/09/STMT00012.pdf,89-50-94,2024-09-16
55646417,Current,BR004,Edinburgh,,"Monthly Current account statement. Closing balance £38,872.47.",,38872.47,,,"Flat 16, Garry views, Hunterton, DL17 9AL",stanleyrebecca@example.com,CUST00047,Miss Abbie Hart,+441914960529,,,STMT00013,eStatement,,,,,,,,patrick.devereux@securebankplc.com,RM015,Patrick Devereux,s3://banking-docs-poc-qahftr/estatements/2025/04/STMT00013.pdf,79-16-54,2025-04-22
46706562,Premier,BR008,Glasgow,,"Monthly Premier account statement. Closing balance £16,635.14.",,16635.14,,,"02 Dorothy haven, Melanieland, E5 7RW",joanturner@example.net,CUST00045,Mrs Hayley Edwards,+44131 496 0418,,,STMT00014,eStatement,,,,,,,,rachel.o'brien@securebankplc.com,RM008,Rachel O'Brien,s3://banking-docs-poc-qahftr/estatements/2025/08/STMT00014.pdf,26-89-78,2025-08-26
96001338,ISA,BR009,Liverpool,,"Monthly ISA account statement. Closing balance £41,617.47.",,41617.47,,,"9 Bird courts, Lake Lesley, E9U 5AD",ellie28@example.net,CUST00001,Eileen Evans,+44(0)1632 960 112,,,STMT00015,eStatement,,,,,,,,mohammed.al-rashid@securebankplc.com,RM003,Mohammed Al-Rashid,s3://banking-docs-poc-qahftr/estatements/2025/03/STMT00015.pdf,13-81-35,2025-03-24
16697848,Current,BR007,Cardiff,,"Monthly Current account statement. Closing balance £23,010.90.",,23010.9,,,"Studio 67, Lee rue, McDonaldmouth, DT3X 5GB",brenda41@example.com,CUST00009,Dr Sharon Jones,(0909) 8790528,,,STMT00016,eStatement,,,,,,,,isabella.rossi@securebankplc.com,RM020,Isabella Rossi,s3://banking-docs-poc-qahftr/estatements/2025/09/STMT00016.pdf,97-24-97,2025-09-20
27849808,Business Current,BR006,Bristol,,"Monthly Business Current account statement. Closing balance £13,434.12.",,13434.12,,,"Flat 3, Chan viaduct, Royport, L35 1EQ",clairewilson@example.org,CUST00025,Bryan Brown,0808 1570256,,,STMT00017,eStatement,,,,,,,,aisha.patel@securebankplc.com,RM010,Aisha Patel,s3://banking-docs-poc-qahftr/estatements/2024/12/STMT00017.pdf,94-23-27,2024-12-17
60883561,Business Current,BR005,Leeds,,"Monthly Business Current account statement. Closing balance £27,025.86.",,27025.86,,,"03 Faulkner run, Lake Victorstad, HA9 2TL",hicksdawn@example.net,CUST00034,Brandon Middleton,(0131) 496 0052,,,STMT00018,eStatement,,,,,,,,sophie.chen@securebankplc.com,RM002,Sophie Chen,s3://banking-docs-poc-qahftr/estatements/2025/01/STMT00018.pdf,89-50-94,2025-01-19
43039117,Current,BR002,Manchester Central,,"Monthly Current account statement. Closing balance £30,161.33.",,30161.33,,,"427 Brown gardens, West Bethan, AB5 0WZ",turnerjosephine@example.com,CUST00012,Dr Duncan Greenwood,(0909) 879 0062,,,STMT00019,eStatement,,,,,,,,natalie.burke@securebankplc.com,RM012,Natalie Burke,s3://banking-docs-poc-qahftr/estatements/2026/03/STMT00019.pdf,78-26-26,2026-03-10
40164005,Savings,BR009,Liverpool,,"Monthly Savings account statement. Closing balance £27,648.86.",,27648.86,,,"080 Lewis route, Port Sara, G5G 7RZ",browneileen@example.net,CUST00027,Maria Forster,0909 879 0429,,,STMT00020,eStatement,,,,,,,,amelia.singh@securebankplc.com,RM016,Amelia Singh,s3://banking-docs-poc-qahftr/estatements/2026/03/STMT00020.pdf,91-43-30,2026-03-03
54353462,Business Current,BR010,Sheffield,,"Monthly Business Current account statement. Closing balance £34,755.62.",,34755.62,,,"367 Watkins spring, West Scottberg, BH84 0YS",joanlittle@example.net,CUST00023,Terry Stephens-Turner,+44(0)306 9990092,,,STMT00021,eStatement,,,,,,,,robert.blackwood@securebankplc.com,RM017,Robert Blackwood,s3://banking-docs-poc-qahftr/estatements/2025/07/STMT00021.pdf,68-50-19,2025-07-25
65185067,Current,BR006,Bristol,,"Monthly Current account statement. Closing balance £50,926.45.",,50926.45,,,"Flat 29J, Price ramp, South Sam, W3 9GT",chloe20@example.org,CUST00051,Rachael Farmer,+44909 8790358,,,STMT00022,eStatement,,,,,,,,fatima.hassan@securebankplc.com,RM018,Fatima Hassan,s3://banking-docs-poc-qahftr/estatements/2025/06/STMT00022.pdf,65-56-91,2025-06-08
77387214,ISA,BR006,Bristol,,"Monthly ISA account statement. Closing balance £29,859.62.",,29859.62,,,"Flat 81G, Singh loaf, Colehaven, PL0V 2FR",ashleigh56@example.com,CUST00037,Edward Jackson,0117 496 0960,,,STMT00023,eStatement,,,,,,,,patrick.devereux@securebankplc.com,RM015,Patrick Devereux,s3://banking-docs-poc-qahftr/estatements/2024/04/STMT00023.pdf,94-91-89,2024-04-21
93252880,ISA,BR005,Leeds,,"Monthly ISA account statement. Closing balance £10,250.94.",,10250.94,,,"5 Gough mountain, South Katherine, B6D 7NW",morgankimberley@example.net,CUST00011,Anthony Potter-Barber,+44(0)118 4960018,,,STMT00024,eStatement,,,,,,,,robert.blackwood@securebankplc.com,RM017,Robert Blackwood,s3://banking-docs-poc-qahftr/estatements/2025/04/STMT00024.pdf,51-72-12,2025-04-28
52553419,Savings,BR005,Leeds,,"Monthly Savings account statement. Closing balance £29,652.01.",,29652.01,,,"Flat 03, Sara lights, Paulinetown, PA3 9FT",jayne53@example.com,CUST00005,Maria Williams-Brown,(0191) 4960489,,,STMT00025,eStatement,,,,,,,,patrick.devereux@securebankplc.com,RM015,Patrick Devereux,s3://banking-docs-poc-qahftr/estatements/2025/12/STMT00025.pdf,78-41-30,2025-12-10
62473178,Current,BR008,Glasgow,,"Monthly Current account statement. Closing balance £6,689.38.",,6689.38,,,"61 Maria ports, Lake Marilynburgh, SP3 4SG",duncanarmstrong@example.com,CUST00018,Lisa Lawrence,+44(0)1632 960 827,,,STMT00026,eStatement,,,,,,,,david.okafor@securebankplc.com,RM005,David Okafor,s3://banking-docs-poc-qahftr/estatements/2025/05/STMT00026.pdf,16-93-79,2025-05-10
43039117,Current,BR002,Manchester Central,,"Monthly Current account statement. Closing balance £39,333.16.",,39333.16,,,"427 Brown gardens, West Bethan, AB5 0WZ",turnerjosephine@example.com,CUST00012,Dr Duncan Greenwood,(0909) 879 0062,,,STMT00027,eStatement,,,,,,,,natalie.burke@securebankplc.com,RM012,Natalie Burke,s3://banking-docs-poc-qahftr/estatements/2025/11/STMT00027.pdf,78-26-26,2025-11-09
48350305,Premier,BR008,Glasgow,,"Monthly Premier account statement. Closing balance £42,425.04.",,42425.04,,,"172 Cameron meadow, Wayneview, S56 4EY",littlefrances@example.com,CUST00006,Simon Evans,+44(0)1144960022,,,STMT00028,eStatement,,,,,,,,liam.fitzgerald@securebankplc.com,RM013,Liam Fitzgerald,s3://banking-docs-poc-qahftr/estatements/2025/08/STMT00028.pdf,44-18-37,2025-08-10
95931034,Current,BR009,Liverpool,,"Monthly Current account statement. Closing balance £50,360.55.",,50360.55,,,"Studio 8, James island, Junemouth, WS53 0LG",natasha17@example.net,CUST00004,Angela Jackson,(0118)4960554,,,STMT00029,eStatement,,,,,,,,aisha.patel@securebankplc.com,RM010,Aisha Patel,s3://banking-docs-poc-qahftr/estatements/2025/08/STMT00029.pdf,39-22-58,2025-08-12
57885685,Business Current,BR005,Leeds,,"Monthly Business Current account statement. Closing balance £16,404.43.",,16404.43,,,"Flat 84, Hughes green, Lake Matthew, W7D 3DG",uford@example.com,CUST00056,Marcus Walker,+44(0)29 2018730,,,STMT00030,eStatement,,,,,,,,george.whitfield@securebankplc.com,RM019,George Whitfield,s3://banking-docs-poc-qahftr/estatements/2025/01/STMT00030.pdf,99-68-44,2025-01-21
27849808,Business Current,BR006,Bristol,,"Monthly Business Current account statement. Closing balance £1,763.30.",,1763.3,,,"Flat 3, Chan viaduct, Royport, L35 1EQ",clairewilson@example.org,CUST00025,Bryan Brown,0808 1570256,,,STMT00031,eStatement,,,,,,,,aisha.patel@securebankplc.com,RM010,Aisha Patel,s3://banking-docs-poc-qahftr/estatements/2024/04/STMT00031.pdf,94-23-27,2024-04-17
41343524,Current,BR009,Liverpool,,"Monthly Current account statement. Closing balance £33,591.93.",,33591.93,,,"849 Hughes shore, Collinsland, UB6 1HT",matthewsfrances@example.org,CUST00058,Linda Hall,01632 960639,,,STMT00032,eStatement,,,,,,,,isabella.rossi@securebankplc.com,RM020,Isabella Rossi,s3://banking-docs-poc-qahftr/estatements/2024/12/STMT00032.pdf,78-26-45,2024-12-31
95931034,Current,BR009,Liverpool,,"Monthly Current account statement. Closing balance £14,027.19.",,14027.19,,,"Studio 8, James island, Junemouth, WS53 0LG",natasha17@example.net,CUST00004,Angela Jackson,(0118)4960554,,,STMT00033,eStatement,,,,,,,,aisha.patel@securebankplc.com,RM010,Aisha Patel,s3://banking-docs-poc-qahftr/estatements/2025/09/STMT00033.pdf,39-22-58,2025-09-14
68727743,Business Current,BR010,Sheffield,,"Monthly Business Current account statement. Closing balance £12,813.18.",,12813.18,,,"6 Lydia branch, Hayleyborough, S5 9ZS",andreadavies@example.com,CUST00041,Jade Elliott-Adams,+44(0)113 4960408,,,STMT00034,eStatement,,,,,,,,robert.blackwood@securebankplc.com,RM017,Robert Blackwood,s3://banking-docs-poc-qahftr/estatements/2024/11/STMT00034.pdf,76-72-90,2024-11-21
16697848,Current,BR007,Cardiff,,"Monthly Current account statement. Closing balance £29,192.42.",,29192.42,,,"Studio 67, Lee rue, McDonaldmouth, DT3X 5GB",brenda41@example.com,CUST00009,Dr Sharon Jones,(0909) 8790528,,,STMT00035,eStatement,,,,,,,,isabella.rossi@securebankplc.com,RM020,Isabella Rossi,s3://banking-docs-poc-qahftr/estatements/2024/09/STMT00035.pdf,97-24-97,2024-09-24
52553419,Savings,BR005,Leeds,,"Monthly Savings account statement. Closing balance £4,693.85.",,4693.85,,,"Flat 03, Sara lights, Paulinetown, PA3 9FT",jayne53@example.com,CUST00005,Maria Williams-Brown,(0191) 4960489,,,STMT00036,eStatement,,,,,,,,patrick.devereux@securebankplc.com,RM015,Patrick Devereux,s3://banking-docs-poc-qahftr/estatements/2024/09/STMT00036.pdf,78-41-30,2024-09-17
51462704,ISA,BR009,Liverpool,,"Monthly ISA account statement. Closing balance £32,213.56.",,32213.56,,,"912 Davis landing, Annetown, IM38 7QB",charlene31@example.net,CUST00010,Wayne Wood,(0131) 4960642,,,STMT00037,eStatement,,,,,,,,carlos.mendez@securebankplc.com,RM009,Carlos Mendez,s3://banking-docs-poc-qahftr/estatements/2025/11/STMT00037.pdf,32-74-23,2025-11-13
18244935,Savings,BR005,Leeds,,"Monthly Savings account statement. Closing balance £41,368.45.",,41368.45,,,"Studio 91, Grace ports, New Brettbury, M3 7WT",nwood@example.org,CUST00026,Linda Mason-Thornton,(0115) 4960463,,,STMT00038,eStatement,,,,,,,,emily.watson@securebankplc.com,RM004,Emily Watson,s3://banking-docs-poc-qahftr/estatements/2025/04/STMT00038.pdf,97-91-43,2025-04-09
65328710,Current,BR007,Cardiff,,"Monthly Current account statement. Closing balance £3,437.93.",,3437.93,,,"Flat 35, Schofield ramp, Roseside, M75 9FB",juliefield@example.org,CUST00008,Derek Clarke,+44909 8790520,,,STMT00039,eStatement,,,,,,,,george.whitfield@securebankplc.com,RM019,George Whitfield,s3://banking-docs-poc-qahftr/estatements/2025/09/STMT00039.pdf,29-90-30,2025-09-27
96001338,ISA,BR009,Liverpool,,"Monthly ISA account statement. Closing balance £47,846.43.",,47846.43,,,"9 Bird courts, Lake Lesley, E9U 5AD",ellie28@example.net,CUST00001,Eileen Evans,+44(0)1632 960 112,,,STMT00040,eStatement,,,,,,,,mohammed.al-rashid@securebankplc.com,RM003,Mohammed Al-Rashid,s3://banking-docs-poc-qahftr/estatements/2024/06/STMT00040.pdf,13-81-35,2024-06-22
62849877,Premier,BR008,Glasgow,,"Monthly Premier account statement. Closing balance £25,962.22.",,25962.22,,,"262 Davis trail, South Irene, PA0Y 4QQ",patriciabrown@example.org,CUST00052,Miss Catherine Shaw,(0113) 496 0142,,,STMT00041,eStatement,,,,,,,,david.okafor@securebankplc.com,RM005,David Okafor,s3://banking-docs-poc-qahftr/estatements/2025/06/STMT00041.pdf,85-44-51,2025-06-20
40164005,Savings,BR009,Liverpool,,"Monthly Savings account statement. Closing balance £31,642.76.",,31642.76,,,"080 Lewis route, Port Sara, G5G 7RZ",browneileen@example.net,CUST00027,Maria Forster,0909 879 0429,,,STMT00042,eStatement,,,,,,,,amelia.singh@securebankplc.com,RM016,Amelia Singh,s3://banking-docs-poc-qahftr/estatements/2026/01/STMT00042.pdf,91-43-30,2026-01-19
96705466,ISA,BR010,Sheffield,,"Monthly ISA account statement. Closing balance £17,791.99.",,17791.99,,,"40 Lucy bridge, Lindseymouth, G84 0TL",tread@example.com,CUST00044,Gemma Wheeler,+44(0)2074960205,,,STMT00043,eStatement,,,,,,,,james.hargreaves@securebankplc.com,RM001,James Hargreaves,s3://banking-docs-poc-qahftr/estatements/2025/01/STMT00043.pdf,79-87-38,2025-01-16
32677360,Savings,BR001,London City,,"Monthly Savings account statement. Closing balance £34,331.80.",,34331.8,,,"60 Mitchell expressway, Martinberg, B5 8WU",thomasking@example.org,CUST00019,Sharon Price,0191 498 0065,,,STMT00044,eStatement,,,,,,,,mohammed.al-rashid@securebankplc.com,RM003,Mohammed Al-Rashid,s3://banking-docs-poc-qahftr/estatements/2025/10/STMT00044.pdf,58-10-59,2025-10-20
68011280,Business Current,BR008,Glasgow,,"Monthly Business Current account statement. Closing balance £8,019.84.",,8019.84,,,"9 Graeme throughway, Jonesmouth, TS6 3LX",terence80@example.org,CUST00028,Dominic Harvey,+441632 960888,,,STMT00045,eStatement,,,,,,,,fatima.hassan@securebankplc.com,RM018,Fatima Hassan,s3://banking-docs-poc-qahftr/estatements/2024/07/STMT00045.pdf,84-80-28,2024-07-28
09788208,Current,BR006,Bristol,,"Monthly Current account statement. Closing balance £34,111.93.",,34111.93,,,"46 George walks, Port Peter, NG03 2JW",robertgrant@example.org,CUST00021,Elliot Williams,0141 496 0539,,,STMT00046,eStatement,,,,,,,,sophie.chen@securebankplc.com,RM002,Sophie Chen,s3://banking-docs-poc-qahftr/estatements/2025/09/STMT00046.pdf,33-18-86,2025-09-09
31665876,Current,BR007,Cardiff,,"Monthly Current account statement. Closing balance £17,086.09.",,17086.09,,,"03 French walks, East Janice, E05 3RJ",tross@example.net,CUST00043,Miss Kimberley Robinson,(0191) 496 0369,,,STMT00047,eStatement,,,,,,,,david.okafor@securebankplc.com,RM005,David Okafor,s3://banking-docs-poc-qahftr/estatements/2026/02/STMT00047.pdf,36-63-59,2026-02-17
62473178,Current,BR008,Glasgow,,"Monthly Current account statement. Closing balance £28,185.01.",,28185.01,,,"61 Maria ports, Lake Marilynburgh, SP3 4SG",duncanarmstrong@example.com,CUST00018,Lisa Lawrence,+44(0)1632 960 827,,,STMT00048,eStatement,,,,,,,,david.okafor@securebankplc.com,RM005,David Okafor,s3://banking-docs-poc-qahftr/estatements/2025/12/STMT00048.pdf,16-93-79,2025-12-24
93252880,ISA,BR005,Leeds,,"Monthly ISA account statement. Closing balance £26,049.46.",,26049.46,,,"5 Gough mountain, South Katherine, B6D 7NW",morgankimberley@example.net,CUST00011,Anthony Potter-Barber,+44(0)118 4960018,,,STMT00049,eStatement,,,,,,,,robert.blackwood@securebankplc.com,RM017,Robert Blackwood,s3://banking-docs-poc-qahftr/estatements/2025/05/STMT00049.pdf,51-72-12,2025-05-05
10310518,Savings,BR004,Edinburgh,,"Monthly Savings account statement. Closing balance £46,984.32.",,46984.32,,,"18 Kenneth turnpike, New Louise, G47 7JP",xmacdonald@example.net,CUST00015,Wayne Atkinson,+44(0)1632960597,,,STMT00050,eStatement,,,,,,,,james.hargreaves@securebankplc.com,RM001,James Hargreaves,s3://banking-docs-poc-qahftr/estatements/2025/02/STMT00050.pdf,45-95-72,2025-02-04
04505331,Business Current,BR007,Cardiff,,"Monthly Business Current account statement. Closing balance £3,112.91.",,3112.91,,,"868 Hill vista, Rickyburgh, HX6E 1EJ",nwright@example.com,CUST00029,Damian Pearson,+441144960254,,,STMT00051,eStatement,,,,,,,,david.okafor@securebankplc.com,RM005,David Okafor,s3://banking-docs-poc-qahftr/estatements/2025/09/STMT00051.pdf,81-62-89,2025-09-13
18244935,Savings,BR005,Leeds,,"Monthly Savings account statement. Closing balance £37,787.18.",,37787.18,,,"Studio 91, Grace ports, New Brettbury, M3 7WT",nwood@example.org,CUST00026,Linda Mason-Thornton,(0115) 4960463,,,STMT00052,eStatement,,,,,,,,emily.watson@securebankplc.com,RM004,Emily Watson,s3://banking-docs-poc-qahftr/estatements/2024/10/STMT00052.pdf,97-91-43,2024-10-17
47379965,Current,BR004,Edinburgh,,"Monthly Current account statement. Closing balance £5,905.53.",,5905.53,,,"Studio 89, Harvey brook, Stevenshire, N8 9TX",judithnash@example.org,CUST00053,Scott Hussain,+441314960267,,,STMT00053,eStatement,,,,,,,,mohammed.al-rashid@securebankplc.com,RM003,Mohammed Al-Rashid,s3://banking-docs-poc-qahftr/estatements/2025/04/STMT00053.pdf,73-51-33,2025-04-15
77387214,ISA,BR006,Bristol,,"Monthly ISA account statement. Closing balance £4,852.30.",,4852.3,,,"Flat 81G, Singh loaf, Colehaven, PL0V 2FR",ashleigh56@example.com,CUST00037,Edward Jackson,0117 496 0960,,,STMT00054,eStatement,,,,,,,,patrick.devereux@securebankplc.com,RM015,Patrick Devereux,s3://banking-docs-poc-qahftr/estatements/2025/01/STMT00054.pdf,94-91-89,2025-01-04
36763201,Premier,BR007,Cardiff,,"Monthly Premier account statement. Closing balance £11,233.18.",,11233.18,,,"7 Wood trail, Guymouth, G4 3UA",barry51@example.com,CUST00039,Terence Smith,+441414960870,,,STMT00055,eStatement,,,,,,,,george.whitfield@securebankplc.com,RM019,George Whitfield,s3://banking-docs-poc-qahftr/estatements/2026/01/STMT00055.pdf,38-32-99,2026-01-26
16697848,Current,BR007,Cardiff,,"Monthly Current account statement. Closing balance £13,096.26.",,13096.26,,,"Studio 67, Lee rue, McDonaldmouth, DT3X 5GB",brenda41@example.com,CUST00009,Dr Sharon Jones,(0909) 8790528,,,STMT00056,eStatement,,,,,,,,isabella.rossi@securebankplc.com,RM020,Isabella Rossi,s3://banking-docs-poc-qahftr/estatements/2024/05/STMT00056.pdf,97-24-97,2024-05-19
48350305,Premier,BR008,Glasgow,,"Monthly Premier account statement. Closing balance £41,519.34.",,41519.34,,,"172 Cameron meadow, Wayneview, S56 4EY",littlefrances@example.com,CUST00006,Simon Evans,+44(0)1144960022,,,STMT00057,eStatement,,,,,,,,liam.fitzgerald@securebankplc.com,RM013,Liam Fitzgerald,s3://banking-docs-poc-qahftr/estatements/2026/01/STMT00057.pdf,44-18-37,2026-01-15
00330923,Savings,BR004,Edinburgh,,"Monthly Savings account statement. Closing balance £13,807.40.",,13807.4,,,"Flat 69, Khan plaza, West Harriet, L1S 5NB",emily97@example.org,CUST00048,Francesca Lucas,(0141) 4960004,,,STMT00058,eStatement,,,,,,,,mohammed.al-rashid@securebankplc.com,RM003,Mohammed Al-Rashid,s3://banking-docs-poc-qahftr/estatements/2024/12/STMT00058.pdf,70-95-24,2024-12-21
74529912,Business Current,BR010,Sheffield,,"Monthly Business Current account statement. Closing balance £20,648.49.",,20648.49,,,"217 Natasha passage, Staceyberg, B2B 9DT",carterdeclan@example.org,CUST00049,Patricia Hopkins-Waters,+449098790877,,,STMT00059,eStatement,,,,,,,,thomas.müller@securebankplc.com,RM007,Thomas Müller,s3://banking-docs-poc-qahftr/estatements/2024/11/STMT00059.pdf,23-84-13,2024-11-29
22602563,Business Current,BR003,Birmingham,,"Monthly Business Current account statement. Closing balance £13,015.69.",,13015.69,,,"5 Colin tunnel, Hazelshire, BS92 9UW",dylanreid@example.com,CUST00030,Mohamed Ahmed,(0121) 4960087,,,STMT00060,eStatement,,,,,,,,rachel.o'brien@securebankplc.com,RM008,Rachel O'Brien,s3://banking-docs-poc-qahftr/estatements/2025/03/STMT00060.pdf,30-99-23,2025-03-06
24896383,Business Current,BR008,Glasgow,,"Monthly Business Current account statement. Closing balance £41,724.28.",,41724.28,,,"2 Carter lane, Allenland, FY2M 9AU",dorothymurray@example.org,CUST00013,Ms Dorothy Burns,+44141 496 0933,,,STMT00061,eStatement,,,,,,,,fatima.hassan@securebankplc.com,RM018,Fatima Hassan,s3://banking-docs-poc-qahftr/estatements/2024/10/STMT00061.pdf,61-95-93,2024-10-20
40164005,Savings,BR009,Liverpool,,"Monthly Savings account statement. Closing balance £44,659.50.",,44659.5,,,"080 Lewis route, Port Sara, G5G 7RZ",browneileen@example.net,CUST00027,Maria Forster,0909 879 0429,,,STMT00062,eStatement,,,,,,,,amelia.singh@securebankplc.com,RM016,Amelia Singh,s3://banking-docs-poc-qahftr/estatements/2025/07/STMT00062.pdf,91-43-30,2025-07-28
94680443,Premier,BR003,Birmingham,,"Monthly Premier account statement. Closing balance £6,027.26.",,6027.26,,,"Flat 18v, Harrison dam, Lake Terence, WC55 5TN",jwright@example.org,CUST00036,Jane Smith-Winter,01632 960 933,,,STMT00063,eStatement,,,,,,,,isabella.rossi@securebankplc.com,RM020,Isabella Rossi,s3://banking-docs-poc-qahftr/estatements/2024/05/STMT00063.pdf,84-87-93,2024-05-24
22602563,Business Current,BR003,Birmingham,,"Monthly Business Current account statement. Closing balance £4,023.23.",,4023.23,,,"5 Colin tunnel, Hazelshire, BS92 9UW",dylanreid@example.com,CUST00030,Mohamed Ahmed,(0121) 4960087,,,STMT00064,eStatement,,,,,,,,rachel.o'brien@securebankplc.com,RM008,Rachel O'Brien,s3://banking-docs-poc-qahftr/estatements/2024/05/STMT00064.pdf,30-99-23,2024-05-19
24896383,Business Current,BR008,Glasgow,,"Monthly Business Current account statement. Closing balance £22,788.65.",,22788.65,,,"2 Carter lane, Allenland, FY2M 9AU",dorothymurray@example.org,CUST00013,Ms Dorothy Burns,+44141 496 0933,,,STMT00065,eStatement,,,,,,,,fatima.hassan@securebankplc.com,RM018,Fatima Hassan,s3://banking-docs-poc-qahftr/estatements/2025/06/STMT00065.pdf,61-95-93,2025-06-11
